,Time,Total_Electricity_[KW],Avg_Electricity_[KW]
253,2004-09-11,155417.02685792826,9713.564178620516
254,2004-09-12,157794.08886850852,9862.130554281783
255,2004-09-13,155559.23985701357,9722.452491063348
256,2004-09-14,156098.08380781833,9756.130237988646
257,2004-09-15,161531.5544556842,10095.722153480263
258,2004-09-16,112838.17220480606,7052.385762800379
259,2004-09-17,102852.18932719015,6428.261832949384
260,2004-09-18,154783.5506258424,9673.97191411515
261,2004-09-19,154714.99964099043,9669.687477561902
262,2004-09-20,158683.45349500663,9917.715843437914
263,2004-09-21,159230.0979935444,9951.881124596524
264,2004-09-22,156661.75299052047,9791.35956190753
265,2004-09-23,106916.67446540396,6682.292154087748
266,2004-09-24,103523.5341353312,6470.2208834582
267,2004-09-25,159868.84276869058,9991.802673043161
268,2004-09-26,155163.63691941038,9697.727307463148
269,2004-09-27,157730.33121679348,9858.145701049592
270,2004-09-28,160257.16786569625,10016.072991606015
271,2004-09-29,157965.57716254328,9872.848572658955
272,2004-09-30,108445.76208097374,6777.860130060859
273,2004-10-01,92003.96914127337,5750.248071329585
274,2004-10-02,153177.95152060234,9573.621970037646
275,2004-10-03,152149.6739310228,9509.354620688924
276,2004-10-04,153873.66937139013,9617.104335711883
277,2004-10-05,159194.23753639866,9949.639846024917
278,2004-10-06,157357.88113276823,9834.867570798015
279,2004-10-07,104410.96049060169,6525.685030662606
280,2004-10-08,90610.46424826443,5663.154015516527
281,2004-10-09,99260.1971559837,6203.762322248981
282,2004-10-10,150666.11750237452,9416.632343898407
283,2004-10-11,151045.98297809358,9440.373936130849
284,2004-10-12,153984.79162116593,9624.04947632287
285,2004-10-13,153253.86695852532,9578.366684907833
286,2004-10-14,104827.53352136743,6551.720845085464
287,2004-10-15,98432.65671122081,6152.041044451301
288,2004-10-16,157155.6845668854,9822.230285430338
289,2004-10-17,154721.64596902396,9670.102873063997
290,2004-10-18,149713.0791304736,9357.0674456546
291,2004-10-19,156523.46474987562,9782.716546867226
292,2004-10-20,157448.0176354413,9840.501102215081
293,2004-10-21,108791.72884474721,6799.483052796701
294,2004-10-22,92913.25494622564,5807.078434139103
295,2004-10-23,147067.81433762415,9191.73839610151
296,2004-10-24,152395.24202861238,9524.702626788274
297,2004-10-25,151405.0794597071,9462.817466231694
298,2004-10-26,154703.2562667274,9668.953516670463
299,2004-10-27,147056.83978532685,9191.052486582928
300,2004-10-28,102854.25379955662,6428.390862472289
301,2004-10-29,94961.87087427292,5935.116929642058
302,2004-10-30,146446.0579197812,9152.878619986324
303,2004-10-31,145178.51998503655,9073.657499064784
304,2004-11-01,151816.89301239967,9488.55581327498
305,2004-11-02,150681.07743251178,9417.567339531986
306,2004-11-03,139695.75777837232,8730.98486114827
307,2004-11-04,99175.57129701949,6198.473206063718
308,2004-11-05,94990.73381615416,5936.920863509635
309,2004-11-06,141682.67828024054,8855.167392515033
310,2004-11-07,144862.36282413194,9053.897676508246
311,2004-11-08,143832.3640608731,8989.52275380457
312,2004-11-09,147984.61883846627,9249.038677404142
313,2004-11-10,144120.16081338696,9007.510050836685
314,2004-11-11,86146.57838402844,5384.161149001778
315,2004-11-12,94671.6620105957,5916.978875662231
316,2004-11-13,150846.6191587496,9427.91369742185
317,2004-11-14,150085.1380250607,9380.321126566294
318,2004-11-15,149080.5703494269,9317.535646839182
319,2004-11-16,145031.81150539604,9064.488219087252
